City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cape Town,ZA,2021-07-30 21:36:59,-33.9258,18.4232,55.27,94,0,2.3
68,Vaini,TO,2021-07-30 21:37:00,-21.2,-175.2,73.56,94,90,8.05
69,Sangar,RU,2021-07-30 21:37:00,63.9242,127.4739,61.16,49,31,3.58
70,Cherskiy,RU,2021-07-30 21:36:43,68.75,161.3,34.97,89,100,6.08
71,Kampong Thum,KH,2021-07-30 21:37:01,12.7111,104.8887,76.39,86,100,3.22
72,Bandar,ID,2021-07-30 21:37:01,2.05,99.75,72.73,89,99,2.44
73,Nancha,CN,2021-07-30 21:37:01,47.1333,129.2667,69.66,100,100,2.86
74,Coihaique,CL,2021-07-30 21:37:02,-45.5752,-72.0662,39.81,70,20,0.0
75,New Norfolk,AU,2021-07-30 21:37:02,-42.7826,147.0587,53.1,65,82,1.01
76,Butaritari,KI,2021-07-30 21:37:03,3.0707,172.7902,81.77,74,94,6.06
77,Tatawin,TN,2021-07-30 21:37:03,32.9297,10.4518,94.08,21,0,3.67
78,Hermanus,ZA,2021-07-30 21:35:38,-34.4187,19.2345,53.91,85,0,2.95
79,Severo-Kurilsk,RU,2021-07-30 21:36:45,50.6789,156.125,56.66,94,99,9.91
80,Katangli,RU,2021-07-30 21:37:04,51.7102,143.2326,53.35,93,100,11.25
81,Tiarei,PF,2021-07-30 21:37:04,-17.5333,-149.3333,82.42,72,50,18.99
82,Puri,IN,2021-07-30 21:37:04,19.8,85.85,82.38,76,100,11.65
83,Los Llanos De Aridane,ES,2021-07-30 21:37:05,28.6585,-17.9182,67.75,93,0,18.41
84,Mumbwa,ZM,2021-07-30 21:37:05,-14.9783,27.0619,55.0,53,12,4.97
85,Mar Del Plata,AR,2021-07-30 21:34:05,-38.0023,-57.5575,56.12,49,0,12.66
86,Qaanaaq,GL,2021-07-30 21:37:06,77.484,-69.3632,42.22,89,99,2.82
87,Escanaba,US,2021-07-30 21:34:11,45.7453,-87.0646,75.67,64,40,14.97
88,Saint George,US,2021-07-30 21:35:37,37.1041,-113.5841,95.63,33,1,1.99
89,Panzhihua,CN,2021-07-30 21:37:06,26.5851,101.7128,69.73,98,100,5.28
90,Muros,ES,2021-07-30 21:37:07,42.7762,-9.0603,65.23,74,50,9.6
91,Shitanjing,CN,2021-07-30 21:37:07,39.2342,106.3439,73.92,33,18,4.14
