City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Sioux Lookout,CA,50.1001,-91.917,79.18,41,90,8.05,smoke
80,Mwense,ZM,-10.3845,28.698,63.16,42,1,3.11,clear sky
81,Okha,RU,53.5739,142.9478,55.06,87,100,11.83,overcast clouds
82,New Norfolk,AU,-42.7826,147.0587,43.92,81,100,2.66,light rain
83,Ginda,IN,30.6945,78.4932,66.94,91,85,1.88,overcast clouds
84,Ende,ID,-8.8432,121.6623,77.02,88,100,6.38,overcast clouds
85,Vardo,NO,70.3705,31.1107,43.0,83,20,2.55,few clouds
86,Bredasdorp,ZA,-34.5322,20.0403,56.28,93,18,4.61,few clouds
87,Constitucion,CL,-35.3333,-72.4167,56.34,70,0,10.42,clear sky
88,Saldanha,ZA,-33.0117,17.9442,56.71,71,0,5.28,clear sky
89,Chokurdakh,RU,70.6333,147.9167,47.68,52,63,8.19,broken clouds
90,Albany,US,42.6001,-73.9662,77.14,50,13,1.99,few clouds
91,Vestmanna,FO,62.1564,-7.1664,49.12,93,90,5.75,overcast clouds
92,Severo-Kurilsk,RU,50.6789,156.125,51.21,77,97,20.36,overcast clouds
93,Georgetown,MY,5.4112,100.3354,80.89,88,20,2.3,few clouds
94,Faanui,PF,-16.4833,-151.75,79.12,76,58,16.73,broken clouds
95,Castro,BR,-24.7911,-50.0119,51.66,82,0,1.57,clear sky
96,Whitianga,NZ,-36.8333,175.7,56.01,76,63,15.23,broken clouds
97,Padang,ID,-0.9492,100.3543,75.25,83,100,4.0,moderate rain
98,Kavieng,PG,-2.5744,150.7967,82.67,78,28,10.56,light rain
99,Nara,JP,34.6851,135.8049,79.92,94,100,3.71,overcast clouds
100,Seoul,KR,37.5683,126.9778,77.76,85,0,1.9,clear sky
101,Souillac,MU,-20.5167,57.5167,59.38,88,20,6.91,few clouds
102,Lagoa,PT,39.05,-27.9833,72.12,91,4,4.7,clear sky
103,Klaeng,TH,12.7797,101.6483,86.95,84,100,8.55,overcast clouds
104,Salyan,AZ,39.5936,48.9805,80.85,34,98,2.53,overcast clouds
105,Newberry,US,34.2746,-81.6187,89.58,51,29,4.85,scattered clouds
106,Benguela,AO,-12.5763,13.4055,70.2,84,0,2.89,clear sky
107,Boddam,GB,57.4667,-1.7833,53.98,79,77,4.54,broken clouds
108,Zhigansk,RU,66.7697,123.3711,62.38,55,17,8.93,few clouds
109,Saskylakh,RU,71.9167,114.0833,64.53,61,24,7.9,few clouds
110,Waterloo,CA,43.4668,-80.5164,75.45,51,40,5.99,scattered clouds
111,Torbay,CA,47.6666,-52.7314,67.68,70,90,6.91,overcast clouds
112,Hofn,IS,64.2539,-15.2082,53.47,86,91,8.37,overcast clouds
113,Rio Claro,BR,-22.4114,-47.5614,66.02,54,1,4.03,clear sky
114,Daru,PG,-9.0763,143.2092,77.4,72,98,9.1,overcast clouds
115,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,77,0,10.36,clear sky
116,Port Blair,IN,11.6667,92.75,81.59,83,99,21.32,light rain
117,The Valley,AI,18.217,-63.0578,84.06,78,20,10.36,few clouds
118,Nikolskoye,RU,59.7035,30.7861,62.78,99,100,8.88,moderate rain
119,Olinda,BR,-8.0089,-34.8553,73.13,88,75,6.91,broken clouds
120,East London,ZA,-33.0153,27.9116,59.68,79,63,17.63,broken clouds
121,Tessalit,ML,20.1986,1.0114,87.12,41,46,16.24,scattered clouds
122,Hilo,US,19.7297,-155.09,80.33,72,90,8.05,light rain
123,Uchaly,RU,54.2996,59.4521,60.37,74,61,3.4,broken clouds
124,Chaplygin,RU,53.2432,39.9629,66.2,79,35,8.23,scattered clouds
